group,datasetName,datasetId,formula,adduct,chemMod,ion,mz,msm,fdr,rhoSpatial,rhoSpectral,rhoChaos,moleculeNames,moleculeIds,minIntensity,maxIntensity,totalIntensity,isomers,isobars,offSample,rawOffSampleProb,isobarIons
Iowa State University,gta3619,2025-06-19_16h57m41s,C5H11NO2,M[M]+,-O+C5H12N3O,C5H11NO2-O+C5H12N3O+,231.18155237899998,0.982539,0.05,0.9853964931870992,0.9985578107567218,0.9985402261003183,"1,4-Imino-1,2,4-Trideoxy-D-Arabinitol, Hval, Acidol, 3-Methylbutyl Nitrite","CNP0110769, CNP0152507, CNP0334080, CNP0341686",0,2118844,1236669184,4,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C6H12O6,M[M]+,-O+C5H12N3O,C6H12O6-O+C5H12N3O+,294.1659619,0.9622671,0.05,0.9665163189101099,0.9967906514019433,0.99880913,"Hamamelose, Fructose, D-Glc, Fructose, Bios I, D-Psicose, D-Glucose","CNP0186782, CNP0188953, CNP0210547, CNP0232181, CNP0254016, CNP0266926, CNP0324595",0,1391029.375,1014691584,7,5,,,"C20H22O2+H+, C7H8N4O2-O+C5H12N3O+, C9H9NO3-O+C5H12N3O+, C16H23NO4+, C13H8O-O+C5H12N3O+H+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C23H25NO4,M[M]+,-O+C5H12N3O,C23H25NO4-O+C5H12N3O+,493.28093206700004,0.94398683,0.05,0.9506413199621725,0.9938950849734075,0.9990994033547225,"Triphyopeltine, Korupensamine A, (-)-(R)-13Aalpha-7-O-Desmethyltylophorine","CNP0201727, CNP0251250, CNP0305350",0,345810.9688,145960272,3,5,,,"C30H39NO5+, C20H26O7-O+C5H12N3O+H+, C27H40O8+H+, C20H28O7-O+C5H12N3O+, C27H42O8+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C27H42O9,M[M]+,-O+C5H12N3O,C27H42O9-O+C5H12N3O+,624.3854567,0.92844874,0.05,0.9378419865626618,0.9912802374848831,0.9986925566343042,"(6-{[2-(8a-methyl-8-methylidene-decahydronaphthalen-2-yl)propan-2-yl]oxy}-3,4-bis(acetyloxy)-5-hydroxyoxan-2-yl)methyl acetate, 16-Diacetoxy-7Alpha-Hydroxy-18-Malonyloxy-Ent-Cleroda-3-Ene","CNP0197238, CNP0425224",0,83659.44531,28877608,2,3,,,"C34H56O10+, C27H42O9-O+C5H12N3O+H+, C32H55N3O9+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C8H8O3,M[M]+,-O+C5H12N3O,C8H8O3-O+C5H12N3O+,266.1499179,0.91921747,0.05,0.9253258949866685,0.994888456,0.9985024958402662,"Orsellinaldehyde, 1-(2,6-Dihydroxyphenyl)Ethanone, Methylsalicylic Acid, 4-Hydroxyphenylacetate, 5-Hydroxy-2-Methoxy Benzaldehyde, Resacetophenone, Mandelic Acid, P-Anisate, Methylparaben, Aquilegiolide, 2-hydroxy-5-methoxybenzaldehyde, Vaniline, Vanillin, 2-Hydroxymethylbenzoic Acid, 4-methoxy-3H-1,2-benzodioxole, 2-Hydroxy-4-Methoxybenzaldehyde, 2-(2-Hydroxyphenyl)Acetate, 3,4-Dihydroxyacetophenone, Betula Oil, Isovanillin","CNP0115622, CNP0132108, CNP0206449, CNP0212603, CNP0214934, CNP0230310, CNP0248394, CNP0249583, CNP0259416, CNP0267394, CNP0269274, CNP0270199, CNP0274414, CNP0283123, CNP0298183, CNP0298651, CNP0298923, CNP0310121, CNP0320906, CNP0420166",0,287440.0313,230849136,20,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C10H10O3,M[M]+,-O+C5H12N3O,C10H10O3-O+C5H12N3O+,292.165568,0.90438855,0.05,0.9106905919357802,0.9945155183374862,0.9985564738292011,"Isosclerone, Mellein, 5-acetyl-2-methoxybenzaldehyde, 1-(2-Hydroxy-4-Methylphenyl)Propan-1,2-Dione, Alpha-Dolabrinol, Isoferulaldehyde, 3-(4-hydroxy-3-methylphenyl)prop-2-enoic acid, methyl 3-(4-hydroxyphenyl)prop-2-enoate, (E)-2-Methoxycinnamic Acid, 9-oxodeca-2,4,5,7-tetraenoic acid, 6,7-dihydroxy-2,3-dihydro-1H-indene-4-carbaldehyde, 6-(prop-2-en-1-yl)-2H-1,3-benzodioxol-4-ol, 1-(2H-1,3-benzodioxol-5-yl)propan-1-one, 3,8-dihydroxy-1,2,3,4-tetrahydronaphthalen-1-one, 3-(4-methoxyphenyl)prop-2-enoic acid, 2-Hydroxy-2,6-Dimethylbenzofuran-3(2H)-One, 3,4-Dihydroxybenzalacetone, Ferulaldehyde","CNP0252911, CNP0115806, CNP0138193, CNP0147494, CNP0155064, CNP0158241, CNP0164069, CNP0173530, CNP0180961, CNP0195927, CNP0212939, CNP0224367, CNP0238358, CNP0241604, CNP0250415, CNP0258906, CNP0261862, CNP0326347",0,1089132.75,574829952,18,1,,,C17H24O4+
Iowa State University,gta3619,2025-06-19_16h57m41s,C22H38O7,M+H,-O+C5H12N3O,C22H38O7-O+C5H12N3O+H+,529.3721524,0.8990185,0.05,0.9387539482900938,0.9629420078148035,0.9945273631840796,Feigrisolide D,CNP0125561,0,61693.18359,1718227.25,1,1,,,C32H51NO5+
Iowa State University,gta3619,2025-06-19_16h57m41s,C43H69NO13,M+H,-O+C5H12N3O,C43H69NO13-O+C5H12N3O+H+,922.5872900869999,0.8869652,0.05,0.9108226186004792,0.9748937686896896,0.9988849765258216,3-O-[Alpha-L-Arabinopyranosyl(1->6)]-2-Acetamido-2-Deoxy-Beta-D-Glucopyranosyl Echinocystic Acid,CNP0155805,0,62841.62891,23863422,1,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C9H16O3,M[M]+,-O+C5H12N3O,C9H16O3-O+C5H12N3O+,286.2125182,0.8849623,0.05,0.8916066052041076,0.9936523971547274,0.9988885183950206,"10-Deoxyeucommiol, Prelactone B, 4-hydroxynon-2-enoic acid","CNP0200831, CNP0287769, CNP0337498",0,195447.6406,133642568,3,2,,,"C7H13N3O2-O+C5H12N3O+H+, C16H30O4+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C14H12O5,M[M]+,-O+C5H12N3O,C14H12O5-O+C5H12N3O+,374.1710473,0.8634688,0.05,0.8731033944449241,0.9907420885149274,0.9982064297800338,"6-Acetyl-5-Hydroxy-2-Methoxy-7-Methyl-[1,4]Naphthoquinone, 3,3',4,5,5'-Pentahydroxystilbene, 2-(4-hydroxybenzoyl)-5-methoxybenzene-1,3-diol, 3,3',4,4',5-Pentahydroxystilbene, Eskel, Melodorinol","CNP0172084, CNP0246080, CNP0315783, CNP0359342, CNP0388833, CNP0409760",0,86861.5,61872440,6,2,,,"C9H12N2O7-O+C5H12N3O+H+, C21H26O6+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C18H32O4,M[M]+,-O+C5H12N3O,C18H32O4-O+C5H12N3O+,426.33263329100004,0.8612816,0.05,0.8764102024464666,0.9838063259623566,0.9989140374942844,"Octadeca-9-Ene-1,18-Dioic-Acid",CNP0104386,0,57039.46094,24533394,1,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C13H13NO4,M[M]+,-O+C5H12N3O,C13H13NO4-O+C5H12N3O+,361.18703168300004,0.8475951,0.05,0.8787940973305053,0.9652473987397159,0.9992235820502697,"3-(1,2-dihydroxyprop-1-en-1-yl)-5-hydroxy-1-methyl-1,4-dihydroquinolin-4-one",CNP0124620,0,159302.7969,36259028,1,2,,,"C24H26O3+, C21H30O3S+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C8H8O4,M[M]+,-O+C5H12N3O,C8H8O4-O+C5H12N3O+,282.1448325,0.84233874,0.05,0.8499656374892806,0.9928171989033501,0.9981966845878136,"2-hydroxy-2-(4-hydroxyphenyl)acetic acid, Homogentisate, Vanillic Acid, 3-ethyl-2,5-dihydroxycyclohexa-2,5-diene-1,4-dione, 2-hydroxy-2-(3-hydroxyphenyl)acetic acid, 2-hydroxy-3-methoxybenzoic acid, 4-hydroxy-2-methoxybenzoic acid, Orsellic Acid, 2,6-dimethoxycyclohexa-2,5-diene-1,4-dione, 3???Hydroxy???4???Methoxybenzoic Acid, Homoprotocatechuate, Mdhb, 2,3-Dimethoxy-1,4-Benzoquinone, 2,5-Dihydroxy-1,4-Benzoquinone; Di-Me Ether","CNP0103860, CNP0114662, CNP0122021, CNP0131476, CNP0133718, CNP0153479, CNP0174648, CNP0194999, CNP0209741, CNP0220341, CNP0276169, CNP0279680, CNP0305061, CNP0323230",0,100452.75,88949824,14,2,,,"C15H22O5+, C18H19NO2+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C29H46O,M[M]+,-O+C5H12N3O,C29H46O-O+C5H12N3O+,524.4574399,0.8405622,0.05,0.8682651895642877,0.9689165478366865,0.9991509433962265,"1-(5-ethyl-6-methylheptan-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one, 1-(5-ethyl-6-methylheptan-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one, 24-Methylenepollinastanone, Cyclonervilasterol, 1-(5-ethyl-6-methylhept-3-en-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, 9a,11a-dimethyl-1-(5,5,6-trimethylhept-3-yn-2-yl)-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, 4Alpha-Methyl-5Alpha-Ergosta-8,14,24(28)-Trien-3Beta-Ol, 1-(5-ethyl-6-methylhept-3-en-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one, 5-Dehydroavenasterol, 1-(5-ethyl-6-methylhepta-3,6-dien-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, Stigmastadienone, 19-Norlanosta-5,24-Dien-11-One, 1-(5-ethyl-6-methylhept-3-en-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one","CNP0113382, CNP0136797, CNP0142112, CNP0144949, CNP0185172, CNP0220496, CNP0225296, CNP0229870, CNP0250000, CNP0251781, CNP0314029, CNP0391972, CNP0403271",0,68903.625,9086387,13,0,,,
